"id","csp_log_lists","csp_log_bits","csp_log_constraints","csp_percent_avg_continuity","csp_log_extra_booleans","csp_percent_dec_predicate","csp_percent_wsum","csp_log_booleans","csp_percent_alldiff","csp_num_alldiff","csp_sqrt_max_domsize","csp_log_ranges","csp_percent_min_continuity","csp_log_extra_bits","csp_percent_cumulative","csp_percent_ext","csp_sqrt_avg_domsize","csp_percent_element","csp_perten_avg_predarity","csp_dyn_log_stdev_weight","csp_dyn_log_nodes","csp_dyn_log_avg_weight","csp_max_arity","csp_percent_global","csp_perten_avg_predsize","csp_log_values","csp_log_extra_ranges","csp_log_search_vars","csp_dyn_log_propags","csp_perten_avg_predshape","csp_percent_gac_predicate","csp","Class"
"acad/QG3/quasigroup3-10.xml",-1,-1,13.001408,100,-1,79.926043,-1,-1,-1,0,10.392305,-1,100,-1,-1,0,8.660254,-1,20,6.692014,11.552189,5.840967,2,0,43.372781,17.582686,8.5157,10.104599,21.915386,26.192053,0,0.393,"abscon"
"acad/QG3/quasigroup3-4.xml",-1,-1,13.001408,100,-1,79.926043,-1,-1,-1,0,10.392305,-1,100,-1,-1,0,8.660254,-1,20,6.692014,11.552189,5.840967,2,0,43.372781,17.582686,8.5157,10.104599,21.915386,26.192053,0,0.262,"gecode"
"acad/QG3/quasigroup3-5.xml",-1,-1,13.001408,100,-1,79.926043,-1,-1,-1,0,10.392305,-1,100,-1,-1,0,8.660254,-1,20,6.692014,11.552189,5.840967,2,0,43.372781,17.582686,8.5157,10.104599,21.915386,26.192053,0,0.249,"gecode"
"acad/QG3/quasigroup3-6.xml",-1,-1,13.001408,100,-1,79.926043,-1,-1,-1,0,10.392305,-1,100,-1,-1,0,8.660254,-1,20,6.692014,11.552189,5.840967,2,0,43.372781,17.582686,8.5157,10.104599,21.915386,26.192053,0,0.315,"gecode"
"acad/QG3/quasigroup3-7.xml",-1,-1,13.001408,100,-1,79.926043,-1,-1,-1,0,10.392305,-1,100,-1,-1,0,8.660254,-1,20,6.692014,11.552189,5.840967,2,0,43.372781,17.582686,8.5157,10.104599,21.915386,26.192053,0,0.289,"mistral_nj"
"acad/QG3/quasigroup3-8.xml",-1,-1,13.001408,100,-1,79.926043,-1,-1,-1,0,10.392305,-1,100,-1,-1,0,8.660254,-1,20,6.692014,11.552189,5.840967,2,0,43.372781,17.582686,8.5157,10.104599,21.915386,26.192053,0,0.295,"gecode"
"acad/QG3/quasigroup3-9.xml",-1,-1,13.001408,100,-1,79.926043,-1,-1,-1,0,10.392305,-1,100,-1,-1,0,8.660254,-1,20,6.692014,11.552189,5.840967,2,0,43.372781,17.582686,8.5157,10.104599,21.915386,26.192053,0,0.335,"abscon"
"acad/QG4/quasigroup4-10.xml",-1,-1,13.001408,100,-1,79.926043,-1,-1,-1,0,10.392305,-1,100,-1,-1,0,8.660254,-1,20,6.692014,11.552189,5.840967,2,0,43.372781,17.582686,8.5157,10.104599,21.915386,26.192053,0,0.406,"abscon"
"acad/QG4/quasigroup4-4.xml",-1,-1,13.001408,100,-1,79.926043,-1,-1,-1,0,10.392305,-1,100,-1,-1,0,8.660254,-1,20,6.692014,11.552189,5.840967,2,0,43.372781,17.582686,8.5157,10.104599,21.915386,26.192053,0,0.294,"mistral_nj"
"acad/QG4/quasigroup4-5.xml",-1,-1,13.001408,100,-1,79.926043,-1,-1,-1,0,10.392305,-1,100,-1,-1,0,8.660254,-1,20,6.692014,11.552189,5.840967,2,0,43.372781,17.582686,8.5157,10.104599,21.915386,26.192053,0,0.294,"gecode"
"acad/QG4/quasigroup4-6.xml",-1,-1,13.001408,100,-1,79.926043,-1,-1,-1,0,10.392305,-1,100,-1,-1,0,8.660254,-1,20,6.692014,11.552189,5.840967,2,0,43.372781,17.582686,8.5157,10.104599,21.915386,26.192053,0,0.246,"gecode"
"acad/QG4/quasigroup4-7.xml",-1,-1,13.001408,100,-1,79.926043,-1,-1,-1,0,10.392305,-1,100,-1,-1,0,8.660254,-1,20,6.692014,11.552189,5.840967,2,0,43.372781,17.582686,8.5157,10.104599,21.915386,26.192053,0,0.32,"mistral_nj"
"acad/QG4/quasigroup4-8.xml",-1,-1,13.001408,100,-1,79.926043,-1,-1,-1,0,10.392305,-1,100,-1,-1,0,8.660254,-1,20,6.692014,11.552189,5.840967,2,0,43.372781,17.582686,8.5157,10.104599,21.915386,26.192053,0,0.267,"mistral_nj"
"acad/QG4/quasigroup4-9.xml",-1,-1,13.001408,100,-1,79.926043,-1,-1,-1,0,10.392305,-1,100,-1,-1,0,8.660254,-1,20,6.692014,11.552189,5.840967,2,0,43.372781,17.582686,8.5157,10.104599,21.915386,26.192053,0,0.33,"gecode"
"acad/QG5/quasigroup5-10.xml",-1,7.491853,9.84549,94.888889,-1,0,0,-1,10,20,3.162278,-1,80,7.491853,0,0,2.478479,90,-1,9.082809,11.562719,9.351467,12,100,-1,11.329796,-1,7.491853,21.904641,-1,0,1.766,"abscon"
"acad/QG5/quasigroup5-4.xml",-1,-1,13.001408,100,-1,79.926043,-1,-1,-1,0,10.392305,-1,100,-1,-1,0,8.660254,-1,20,6.692014,11.552189,5.840967,2,0,43.372781,17.582686,8.5157,10.104599,21.915386,26.192053,0,0.283,"gecode"
"acad/QG5/quasigroup5-5.xml",-1,-1,13.001408,100,-1,79.926043,-1,-1,-1,0,10.392305,-1,100,-1,-1,0,8.660254,-1,20,6.692014,11.552189,5.840967,2,0,43.372781,17.582686,8.5157,10.104599,21.915386,26.192053,0,0.244,"gecode"
"acad/QG5/quasigroup5-6.xml",-1,-1,13.001408,100,-1,79.926043,-1,-1,-1,0,10.392305,-1,100,-1,-1,0,8.660254,-1,20,6.692014,11.552189,5.840967,2,0,43.372781,17.582686,8.5157,10.104599,21.915386,26.192053,0,0.253,"gecode"
"acad/QG5/quasigroup5-7.xml",-1,-1,13.001408,100,-1,79.926043,-1,-1,-1,0,10.392305,-1,100,-1,-1,0,8.660254,-1,20,6.692014,11.552189,5.840967,2,0,43.372781,17.582686,8.5157,10.104599,21.915386,26.192053,0,0.257,"gecode"
"acad/QG5/quasigroup5-8.xml",-1,-1,13.001408,100,-1,79.926043,-1,-1,-1,0,10.392305,-1,100,-1,-1,0,8.660254,-1,20,6.692014,11.552189,5.840967,2,0,43.372781,17.582686,8.5157,10.104599,21.915386,26.192053,0,0.242,"gecode"
"acad/QG5/quasigroup5-9.xml",-1,7.169925,9.379378,94.518519,-1,0,0,-1,11.111111,18,3,-1,77.777778,7.169925,0,0,2.34094,88.888889,-1,9.841786,12.186733,10.129972,11,100,-1,10.84549,-1,7.169925,21.964768,-1,0,1.756,"abscon"
"acad/QG6/quasigroup6-10.xml",-1,-1,13.001408,100,-1,79.926043,-1,-1,-1,0,10.392305,-1,100,-1,-1,0,8.660254,-1,20,6.692014,11.552189,5.840967,2,0,43.372781,17.582686,8.5157,10.104599,21.915386,26.192053,0,0.749,"riss3g_direct"
"acad/QG6/quasigroup6-4.xml",-1,-1,13.001408,100,-1,79.926043,-1,-1,-1,0,10.392305,-1,100,-1,-1,0,8.660254,-1,20,6.692014,11.552189,5.840967,2,0,43.372781,17.582686,8.5157,10.104599,21.915386,26.192053,0,0.251,"gecode"
