Chi-squared,F ANOVA,PCA,Variance
0.8169934640522876,0.6646706586826348,0.8410596026490066,0.6951219512195121
0.6646706586826348,0.7375,0.7594936708860759,0.6951219512195121
0.7375,0.7375,0.9172413793103448,0.6951219512195121
0.7375,0.7375,0.9172413793103448,0.6951219512195121
0.6607142857142857,0.7383177570093458,0.8787878787878788,0.8979591836734694
0.6607142857142857,0.6607142857142857,0.6756756756756757,0.8979591836734694
0.8979591836734694,0.8979591836734694,0.8787878787878788,0.8979591836734694
0.6607142857142857,0.6607142857142857,0.6756756756756757,0.8979591836734694
0.6923076923076923,0.8333333333333334,0.41935483870967744,0.76
0.6296296296296297,0.76,0.6923076923076923,0.76
0.6923076923076923,0.76,0.41935483870967744,0.9130434782608696
0.8333333333333334,0.76,0.41935483870967744,0.76
0.8873239436619719,0.8108108108108109,0.7866666666666666,0.7631578947368421
0.654320987654321,0.8873239436619719,0.7866666666666666,0.5764705882352941
0.8873239436619719,0.8873239436619719,0.8611111111111112,0.7631578947368421
0.8873239436619719,0.8873239436619719,0.8356164383561644,0.5764705882352941
0.8088235294117647,0.8923076923076924,0.7323943661971831,0.5279503105590062
0.6621621621621622,0.6621621621621622,0.7323943661971831,0.5279503105590062
0.8923076923076924,0.8923076923076924,0.8222222222222222,0.4302325581395349
0.6621621621621622,0.8923076923076924,0.6510067114093959,0.5279503105590062
0.902439024390244,0.6595744680851063,0.746268656716418,0.5294117647058824
0.6595744680851063,0.6595744680851063,0.6714285714285714,0.3146067415730337
0.902439024390244,0.902439024390244,0.6714285714285714,0.4904458598726114
0.6595744680851063,0.6595744680851063,0.746268656716418,0.4268292682926829
0.7333333333333333,0.7333333333333333,0.708029197080292,0.828125
0.7333333333333333,0.6595744680851063,0.708029197080292,0.6714285714285714
0.6595744680851063,0.7333333333333333,0.8870967741935484,0.918032786885246
0.6595744680851063,0.813953488372093,0.708029197080292,0.828125
0.7142857142857143,0.7142857142857143,0.44,0.8
0.7142857142857143,0.6744186046511628,0.44,0.8
0.8947368421052632,0.7142857142857143,0.44,0.8
0.6744186046511628,0.6744186046511628,0.44,0.8
0.660377358490566,0.7254901960784313,0.76,0.5172413793103449
